AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,CommunityDistrict,CensusTract2010,NTA,CityCouncilDistrict,CongressionalDistrict,StateSenatorialDistrict,LicenseIssuedDate,LicenseExpiredDate
TINY,F,1/1/2005 0:00,Miniature Pinscher,Brooklyn,11229,315,632,BK17,46,9,22,6/10/2016,6/29/2017
MILO,M,9/1/2008 0:00,Jack Russell Terrier,Brooklyn,11208,305,1194,BK82,42,8,19,6/12/2015,6/3/2016
RUBY ,F,1/1/2001 0:00,Maltese,Brooklyn,11228,310,200,BK30,43,11,22,7/31/2015,7/30/2016
MONYA,M,1/1/2009 0:00,Yorkshire Terrier,Staten Island,10305,501,8,SI37,49,11,23,11/9/2015,12/1/2016
BELLA,F,10/1/2011 0:00,Unknown,Brooklyn,11215,306,157,BK37,39,9,21,4/11/2015,12/21/2017
TOBY,M,7/1/2010 0:00,Puggle,Brooklyn,11220,310,22,BK32,38,10,23,1/13/2016,1/27/2017
POLLY,F,2/1/2016 0:00,Chihuahua,Bronx,10451,204,5902,BX14,17,15,29,12/2/2016,12/2/2017
BIZZY,F,7/1/2007 0:00,Pug,Brooklyn,11211,301,513,BK73,34,12,18,7/15/2016,6/20/2017
JENNIFER,F,4/1/2015 0:00,Terrier mix,Bronx,10456,203,135,BX35,16,15,32,7/10/2016,7/10/2017
SCOOBY ,M,1/1/2002 0:00,Beagle,Brooklyn,11218,314,1522,BK42,40,9,17,9/11/2015,5/30/2018
SIDNEY ,M,8/1/2006 0:00,Shih Tzu,Manhattan,10009,106,44,MN50,4,12,27,5/17/2016,6/30/2018
Z-WILLOW,F,2/1/2014 0:00,Belgian Malinois,Queens,11415,409,134,QN60,29,6,14,8/14/2015,8/14/2016
CODEE ,M,1/1/2006 0:00,Yorkshire Terrier,Queens,11357,NA,NULL,NULL,NA,NA,NA,6/29/2016,8/30/2017
KIYA,F,12/1/2015 0:00,Shih Tzu Crossbreed,Queens,11364,411,129104,QN42,23,6,11,4/30/2016,4/30/2017
CHESTER,M,10/1/2009 0:00,Cairn Terrier,Brooklyn,11233,303,275,BK35,36,8,25,12/4/2015,12/29/2016
CARAMEL ,F,3/1/2016 0:00,Poodle,Bronx,10455,201,79,BX34,8,15,29,7/21/2016,7/21/2017
